market,score,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,avg_won_volume,trend_corr,last_price,reasons,ticker,name
US,97.9,5.29,0.0,False,406037955.0,0.243,13.8,변동폭 적정(5.3%); 유동성 충분; 추세지속성 양호(0.24),TTD,
US,95.4,3.32,0.0,True,31604872990.0,-0.137,223.96,"변동폭 적정(3.3%); 유동성 충분; 평균회귀 성향(-0.14); NR7(최근7일중 최저변동성, 돌파 임박 가능성)",NVDA,
US,94.7,4.04,1.7,False,94562899.0,0.213,5.03,변동폭 적정(4.0%); 유동성 충분; 추세지속성 양호(0.21),BTG,
US,93.6,6.27,0.0,False,729711500.0,0.112,15.05,변동폭 적정(6.3%); 유동성 충분; 추세지속성 양호(0.11),PATH,
US,91.1,6.85,0.0,False,13595472581.0,0.037,101.65,변동폭 적정(6.8%); 유동성 충분,INTC,
KR,89.8,5.71,0.0,False,559715899717.0,-0.002,13605.0,변동폭 적정(5.7%); 유동성 충분,229200,KODEX 코스닥150
US,89.6,4.83,0.0,False,5892097115.0,-0.008,172.01,변동폭 적정(4.8%); 유동성 충분,PLTR,
US,89.2,6.22,0.0,False,215924662.0,-0.02,8.02,변동폭 적정(6.2%); 유동성 충분,SOUN,
KR,88.8,7.58,3.0,False,758616867155.0,0.089,15210.0,변동폭 적정(7.6%); 유동성 충분; 추세지속성 양호(0.09),0167A0,SOL AI반도체TOP2플러스
US,87.9,5.05,1.7,False,120753661.0,0.007,27.4,변동폭 적정(5.0%); 유동성 충분,DOCS,
KR,87.8,5.73,3.0,False,1026134175000.0,0.059,1137.0,변동폭 적정(5.7%); 유동성 충분; 추세지속성 양호(0.06),114800,KODEX 인버스
KR,87.7,5.89,1.5,False,115519865260.0,-0.004,2520.0,변동폭 적정(5.9%); 유동성 충분,251340,KODEX 코스닥150선물인버스
US,86.1,8.13,5.1,False,18087783600.0,0.105,133.11,변동폭 다소 높음(8.1%); 유동성 충분; 추세지속성 양호(0.10),SPCX,
US,78.5,8.78,5.0,False,805794606.0,-0.071,9.11,변동폭 다소 높음(8.8%); 유동성 충분; 평균회귀 성향(-0.07),ONDS,
KR,74.8,0.88,0.0,False,677491325488.0,0.137,24625.0,변동폭 다소 낮음(0.9%); 유동성 충분; 추세지속성 양호(0.14),379800,KODEX 미국S&P500
KR,73.3,0.88,0.0,False,862740854297.0,0.089,27075.0,변동폭 다소 낮음(0.9%); 유동성 충분; 추세지속성 양호(0.09),360750,TIGER 미국S&P500
KR,67.6,11.08,13.6,False,94192671904.0,0.154,965.0,변동폭 다소 높음(11.1%); 유동성 충분; 추세지속성 양호(0.15),462330,KODEX 2차전지산업레버리지
KR,61.5,11.19,15.2,False,729084080834.0,0.037,6650.0,변동폭 다소 높음(11.2%); 패닉성 급변동 비율 높음(15%); 유동성 충분,233740,KODEX 코스닥150레버리지
KR,61.4,14.01,28.8,False,47059458793.0,0.29,7810.0,변동폭 다소 높음(14.0%); 패닉성 급변동 비율 높음(29%); 유동성 충분; 추세지속성 양호(0.29),017900,광전자
KR,61.4,11.81,21.2,False,13052606706.0,0.09,104.0,변동폭 다소 높음(11.8%); 패닉성 급변동 비율 높음(21%); 유동성 충분; 추세지속성 양호(0.09),252710,TIGER 200선물인버스2X
KR,59.4,14.87,42.4,False,52872820731.0,0.392,3005.0,변동폭 다소 높음(14.9%); 패닉성 급변동 비율 높음(42%); 유동성 충분; 추세지속성 양호(0.39),069540,빛과전자
KR,59.1,11.52,19.7,False,35823928592.0,-0.008,1977.0,변동폭 다소 높음(11.5%); 패닉성 급변동 비율 높음(20%); 유동성 충분,Q530107,삼성 인버스 2X 코스닥150 선물 ETN
KR,59.0,12.23,22.7,False,943418566606.0,0.056,97.0,변동폭 다소 높음(12.2%); 패닉성 급변동 비율 높음(23%); 유동성 충분; 추세지속성 양호(0.06),252670,KODEX 200선물인버스2X
KR,44.3,17.52,60.8,False,1808656754191.0,0.091,6290.0,변동폭 다소 높음(17.5%); 패닉성 급변동 비율 높음(61%); 유동성 충분; 추세지속성 양호(0.09),0195S0,TIGER SK하이닉스단일종목레버리지
KR,43.1,17.6,56.9,False,3710198780081.0,0.06,7395.0,변동폭 다소 높음(17.6%); 패닉성 급변동 비율 높음(57%); 유동성 충분; 추세지속성 양호(0.06),0193T0,KODEX SK하이닉스단일종목레버리지
