ticker,market,score,name,avg_daily_range_pct,panic_day_ratio_pct,is_nr7,is_high_rvol,rvol,avg_won_volume,trend_corr,last_price,reasons
CRM,US,100.0,"Salesforce, Inc.",4.55,1.7,False,True,4.41,2638176010.0,0.074,252.05,변동폭 적정(4.5%); 유동성 충분; 추세지속성 양호(0.07); RVOL 높음(평소 대비 4.4배 거래량)
AAL,US,100.0,"American Airlines Group, Inc.",4.21,0.0,True,False,1.07,1697672524.0,0.007,13.72,"변동폭 적정(4.2%); 유동성 충분; NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
PATH,US,96.4,"UiPath, Inc.",5.98,0.0,False,False,1.03,864989941.0,0.197,18.33,변동폭 적정(6.0%); 유동성 충분; 추세지속성 양호(0.20)
NOK,US,93.2,Nokia Corporation Sponsored,6.03,1.7,True,False,0.97,1121950513.0,-0.135,10.59,"변동폭 적정(6.0%); 유동성 충분; 평균회귀 성향(-0.13); NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
NVDA,US,92.7,NVIDIA Corporation,3.49,0.0,False,True,2.72,28523311048.0,-0.219,227.98,변동폭 적정(3.5%); 유동성 충분; 평균회귀 성향(-0.22); RVOL 높음(평소 대비 2.7배 거래량)
INTC,US,89.0,Intel Corporation,7.48,0.0,False,False,1.04,12630302005.0,-0.026,92.09,변동폭 적정(7.5%); 유동성 충분
ONDS,US,87.8,Ondas Inc,7.93,1.7,False,False,1.19,682393716.0,0.005,8.75,변동폭 적정(7.9%); 유동성 충분
SPCX,US,87.3,Space Exploration Technologies ,7.96,11.3,True,False,0.63,16927424885.0,0.074,140.87,"변동폭 적정(8.0%); 유동성 충분; 추세지속성 양호(0.07); NR7(최근7일중 최저변동성, 돌파 임박 가능성)"
BMNR,US,85.0,"BitMine Immersion Technologies,",7.18,1.7,False,False,1.2,678212181.0,-0.082,25.63,변동폭 적정(7.2%); 유동성 충분; 평균회귀 성향(-0.08)
MARA,US,73.8,"MARA Holdings, Inc.",9.2,10.0,False,False,1.05,568494119.0,0.027,11.87,변동폭 다소 높음(9.2%); 유동성 충분
